,town,latitude,longitude,country
0,Acton,-35.27767,149.11829,Australia
1,Ainslie,-35.26255,149.1437,Australia
2,Amaroo,-35.16959,149.12802,Australia
3,Aranda,-35.25817,149.0804,Australia
4,Banks,-35.47194,149.09965,Australia
5,Barton,-35.30489,149.14121,Australia
6,Belconnen,-35.23798,149.06627,Australia
7,Bonner,-35.16225,149.13855,Australia
8,Bonython,-35.43326,149.07822,Australia
9,Braddon,-35.27078,149.13569,Australia
10,Bruce,-35.24405,149.09083,Australia
11,Calwell,-35.44042,149.10707,Australia
12,Campbell,-35.28907,149.15382,Australia
13,Canberra,-35.28346,149.12807,Australia
14,Casey,-35.16701,149.0947,Australia
15,Chapman,-35.35621,149.03742,Australia
16,Charnwood,-35.20019,149.03412,Australia
17,Chifley,-35.3534,149.07684,Australia
18,Chisholm,-35.41249,149.12825,Australia
19,City,-35.28125,149.12927,Australia
20,Conder,-35.45926,149.10422,Australia
21,Cook,-35.26014,149.06566,Australia
22,Coombs,-35.31634,149.03941,Australia
23,Crace,-35.20282,149.10736,Australia
24,Curtin,-35.32464,149.07763,Australia
25,Deakin,-35.31927,149.10308,Australia
26,Dickson,-35.25082,149.13932,Australia
27,Downer,-35.24457,149.14468,Australia
28,Duffy,-35.33459,149.03188,Australia
29,Dunlop,-35.19402,149.01984,Australia
30,Evatt,-35.21191,149.06891,Australia
31,Fadden,-35.405,149.11662,Australia
32,Farrer,-35.37673,149.105,Australia
33,Fisher,-35.36126,149.05704,Australia
34,Florey,-35.22588,149.05,Australia
35,Flynn,-35.20593,149.04389,Australia
36,Forde,-35.16823,149.14607,Australia
37,Forrest,-35.31499,149.12859,Australia
38,Franklin,-35.19946,149.14329,Australia
39,Fraser,-35.1917,149.04534,Australia
40,Garran,-35.34206,149.10846,Australia
41,Gilmore,-35.41994,149.13481,Australia
42,Giralang,-35.21093,149.096,Australia
43,Gordon,-35.45676,149.08498,Australia
44,Gowrie,-35.41187,149.10903,Australia
45,Greenway,-35.41829,149.06658,Australia
46,Griffith,-35.32533,149.13714,Australia
47,Gungahlin,-35.18674,149.13619,Australia
48,Hackett,-35.24948,149.16352,Australia
49,Harrison,-35.19906,149.15631,Australia
50,Hawker,-35.24707,149.03666,Australia
51,Higgins,-35.23242,149.0272,Australia
52,Holder,-35.33439,149.04614,Australia
53,Holt,-35.22441,149.01188,Australia
54,Hughes,-35.33269,149.09491,Australia
55,Isaacs,-35.36862,149.11555,Australia
56,Isabella Plains,-35.42829,149.08795,Australia
57,Kaleen,-35.21814,149.10516,Australia
58,Kambah,-35.38624,149.05804,Australia
59,Kingston,-35.31525,149.14658,Australia
60,Latham,-35.21652,149.03144,Australia
61,Lyneham,-35.2398,149.13074,Australia
62,Lyons,-35.3406,149.07396,Australia
63,Macarthur,-35.40885,149.12696,Australia
64,Macgregor,-35.2098,149.01101,Australia
65,Macquarie,-35.25126,149.06363,Australia
66,Mawson,-35.3634,149.09863,Australia
67,McKellar,-35.21752,149.07704,Australia
68,Melba,-35.21016,149.05405,Australia
69,Monash,-35.41577,149.09063,Australia
70,Narrabundah,-35.3357,149.14924,Australia
71,Ngunnawal,-35.1728,149.11147,Australia
72,Nicholls,-35.18733,149.09648,Australia
73,O'Connor,-35.25645,149.11248,Australia
74,Oxley,-35.40952,149.0786,Australia
75,Page,-35.23864,149.04988,Australia
76,Palmerston,-35.19447,149.1194,Australia
77,Pearce,-35.36222,149.08338,Australia
78,Phillip,-35.35035,149.09151,Australia
79,Red Hill,-35.32624,149.11906,Australia
80,Reid,-35.28578,149.13905,Australia
81,Richardson,-35.42787,149.11377,Australia
